32,500,32,32
39,500,39,39
32.3,500,38,38
38,500,38,38
53,6050,53,53
33,500,33,33
40,500,40,40
41,500,41,41
28.05,500,33,33
38.025,500,39,39
41.4,500,46,46
20.1,500,19,30
39.949999999999996,500,47,47
33.15,500,39,39
45,600,45,45
25.349999999999998,500,26,26
28.05,500,33,33
40,500,40,40
33.300000000000004,500,37,37
44.39999999999999,500,39,57
42,500,42,42
52,5700,52,52
40,500,40,40
40.949999999999996,500,42,42
33.15,500,34,34
38,500,38,38
49.199999999999996,3650,48,52
30.9,500,12,39
42,500,42,42
43,500,43,43
36.1,500,38,38
32,500,32,32
68,16750,68,68
37.05,500,39,39
40,500,40,40
41,500,41,41
41,500,41,41
38.5,500,38,43
43.2,500,36,45
45,500,45,45
50,3850,50,50
26.599999999999998,500,28,28
35.1,500,39,39
40.95,500,42,42
48.9,3800,30,57
62.99999999999999,10350,63,63
59,9000,59,59
34.85,500,41,41
63.15,12300,63,64
52.00000000000001,4750,52,52
45.599999999999994,900,48,48
31.000000000000004,500,31,52
54,5950,54,54
53,6250,53,53
47.00000000000001,2250,47,47
52.00000000000001,4700,52,52
44.6,500,43,45
46,1300,46,46
54,6000,50,55
59.05,10250,59,60
43.5,500,41,46
64,13650,64,64
50,4100,50,50
52.2,4900,58,58
51.5,5300,34,59
57,9650,57,57
39,500,39,39
53,5600,53,53
41.5,500,28,55
43.35,500,51,51
68,16050,68,68
55.575,7850,57,57
49.6,3500,48,50
42.5,500,50,50
44,500,44,44
36,500,36,39
57.300000000000004,8700,57,63
50,3750,50,50
58,9450,58,58
55,8100,55,55
50.5,4950,49,52
38.25,500,45,45
45,500,45,45
63.24999999999999,15000,63,68
67,15500,67,67
55.099999999999994,7650,58,58
51,3850,51,51
54.6,7800,56,56
53,6250,53,53
57.949999999999996,9700,61,61
50,3550,50,50
47.00000000000001,1650,47,47
48,2850,48,48
55.099999999999994,7700,58,58
34,500,40,40
51.2,4750,36,55
44,500,44,44
42.00000000000001,500,42,42
36,500,36,36
62.99999999999999,13550,63,63
44.1,500,49,49
59,10950,59,59
45,500,50,50
52,5000,52,52
50,4000,50,50
62.1,12100,69,69
34,500,40,40
42.00000000000001,500,42,42
36,500,40,40
49.725,3500,51,51
48,2950,48,48
51,5300,60,60
61,11500,61,61
51.400000000000006,4300,37,55
47.7,1950,53,53
45.99999999999999,1300,46,46
38,500,38,38
67,14950,67,67
57.949999999999996,10850,61,61
53.6,6150,53,59
53.625,5700,55,55
46,1250,46,46
31.450000000000006,500,37,37
49.4,3550,27,55
54,7900,54,54
45.05,550,53,53
53.625,5550,55,55
47.99999999999999,2850,48,48
55.5,6150,46,65
45,550,45,45
57.00000000000001,8750,57,57
63.75,12350,75,75
58,7750,58,58
39.900000000000006,500,42,42
51,5800,51,51
44,500,44,44
50.6,4850,33,55
35.150000000000006,500,37,37
49,3800,49,49
53.15,5950,53,54
47.775,2150,49,49
49.5,3350,55,55
42,500,42,42
40.8,500,48,48
50,4400,50,50
53,5900,53,53
67.6,16550,38,75
46.800000000000004,1750,52,52
72.5,16750,72,73
47.89999999999999,2600,44,57
56.199999999999996,8900,52,58
39,500,39,39
57.5,9100,54,61
48.75,3050,48,53
63,11900,63,63
54,7350,54,54
63,13500,63,63
48.6,3100,54,54
36,500,40,40
54,7400,54,54
44.2,500,52,52
51.5,4750,32,71
55.400000000000006,7600,37,60
58,8250,58,58
52,6150,45,55
39.95,500,47,47
52.65,5700,54,54
45.825,1000,47,47
52,5000,52,52
54.6,7550,56,56
33.7,500,31,40
47.00000000000001,2000,47,47
48.699999999999996,3100,41,52
48.449999999999996,3250,51,51
67,18050,67,67
52.65,5950,54,54
52.2,5450,58,58
48.449999999999996,2700,48,57
58,10350,58,58
49,3200,49,50
32.4,500,36,36
47.00000000000001,1900,47,47
41,500,41,41
38.7,500,43,43
22.1,500,26,26
39,500,40,40
44,500,44,44
55,8250,55,55
58,10100,58,60
51.8,5150,50,68
49,3100,49,50
46,1200,46,46
42.00000000000001,500,42,42
46,900,46,46
52.25,4600,55,55
60,10250,60,60
47.300000000000004,2150,47,48
50,4750,50,50
