MIGUEL,0.122,67.415,150,USA
OSCAR,0.122,67.538,151,USA
JAY,0.118,67.656,152,USA
JIM,0.118,67.773,153,USA
TOM,0.117,67.89,154,USA
CALVIN,0.115,68.006,155,USA
ALEX,0.115,68.12,156,USA
JON,0.115,68.235,157,USA
RONNIE,0.113,68.348,158,USA
BILL,0.112,68.461,159,USA
LLOYD,0.112,68.573,160,USA
TOMMY,0.112,68.685,161,USA
LEON,0.112,68.797,162,USA
DEREK,0.112,68.908,163,USA
WARREN,0.11,69.018,164,USA
DARRELL,0.108,69.126,165,USA
JEROME,0.108,69.234,166,USA
FLOYD,0.107,69.34,167,USA
LEO,0.106,69.446,168,USA
ALVIN,0.105,69.551,169,USA
TIM,0.104,69.656,170,USA
WESLEY,0.104,69.76,171,USA
GORDON,0.104,69.864,172,USA
DEAN,0.104,69.968,173,USA
GREG,0.104,70.071,174,USA
JORGE,0.104,70.175,175,USA
DUSTIN,0.103,70.278,176,USA
PEDRO,0.103,70.381,177,USA
DERRICK,0.103,70.484,178,USA
DAN,0.101,70.585,179,USA
LEWIS,0.099,70.684,180,USA
ZACHARY,0.099,70.782,181,USA
COREY,0.098,70.88,182,USA
HERMAN,0.097,70.977,183,USA
MAURICE,0.097,71.074,184,USA
VERNON,0.097,71.171,185,USA
ROBERTO,0.097,71.268,186,USA
CLYDE,0.095,71.363,187,USA
GLEN,0.094,71.457,188,USA
HECTOR,0.094,71.551,189,USA
SHANE,0.093,71.645,190,USA
RICARDO,0.093,71.738,191,USA
SAM,0.092,71.83,192,USA
RICK,0.091,71.921,193,USA
LESTER,0.091,72.011,194,USA
BRENT,0.09,72.102,195,USA
RAMON,0.09,72.192,196,USA
CHARLIE,0.09,72.281,197,USA
TYLER,0.089,72.371,198,USA
GILBERT,0.089,72.46,199,USA
GENE,0.087,72.547,200,USA
MARC,0.087,72.634,201,USA
REGINALD,0.084,72.717,202,USA
RUBEN,0.082,72.8,203,USA
BRETT,0.082,72.882,204,USA
ANGEL,0.082,72.964,205,USA
NATHANIEL,0.081,73.045,206,USA
RAFAEL,0.081,73.126,207,USA
LESLIE,0.081,73.207,208,USA
EDGAR,0.08,73.287,209,USA
MILTON,0.08,73.367,210,USA
RAUL,0.079,73.446,211,USA
BEN,0.078,73.524,212,USA
CHESTER,0.078,73.602,213,USA
CECIL,0.078,73.68,214,USA
DUANE,0.077,73.757,215,USA
FRANKLIN,0.077,73.834,216,USA
ANDRE,0.076,73.91,217,USA
ELMER,0.074,73.984,218,USA
BRAD,0.073,74.057,219,USA
GABRIEL,0.073,74.13,220,USA
RON,0.072,74.202,221,USA
MITCHELL,0.072,74.274,222,USA
ROLAND,0.072,74.347,223,USA
ARNOLD,0.072,74.419,224,USA
HARVEY,0.072,74.491,225,USA
JARED,0.071,74.562,226,USA
ADRIAN,0.069,74.631,227,USA
KARL,0.069,74.699,228,USA
CORY,0.068,74.767,229,USA
CLAUDE,0.068,74.835,230,USA
ERIK,0.068,74.903,231,USA
DARRYL,0.067,74.97,232,USA
JAMIE,0.066,75.037,233,USA
NEIL,0.066,75.102,234,USA
JESSIE,0.065,75.168,235,USA
CHRISTIAN,0.065,75.233,236,USA
JAVIER,0.065,75.297,237,USA
FERNANDO,0.065,75.362,238,USA
CLINTON,0.065,75.427,239,USA
TED,0.064,75.491,240,USA
MATHEW,0.064,75.555,241,USA
TYRONE,0.064,75.619,242,USA
DARREN,0.064,75.683,243,USA
LONNIE,0.064,75.746,244,USA
LANCE,0.063,75.81,245,USA
CODY,0.063,75.873,246,USA
JULIO,0.063,75.936,247,USA
KELLY,0.063,75.998,248,USA
KURT,0.062,76.061,249,USA
ALLAN,0.061,76.122,250,USA
NELSON,0.061,76.182,251,USA
GUY,0.06,76.243,252,USA
CLAYTON,0.06,76.303,253,USA
HUGH,0.06,76.363,254,USA
MAX,0.059,76.421,255,USA
DWAYNE,0.059,76.48,256,USA
DWIGHT,0.058,76.538,257,USA
ARMANDO,0.058,76.596,258,USA
FELIX,0.058,76.654,259,USA
JIMMIE,0.058,76.711,260,USA
EVERETT,0.057,76.768,261,USA
JORDAN,0.056,76.824,262,USA
IAN,0.056,76.88,263,USA
WALLACE,0.056,76.936,264,USA
KEN,0.055,76.991,265,USA
BOB,0.055,77.047,266,USA
JAIME,0.055,77.102,267,USA
CASEY,0.054,77.156,268,USA
ALFREDO,0.054,77.21,269,USA
ALBERTO,0.053,77.263,270,USA
DAVE,0.053,77.316,271,USA
IVAN,0.053,77.369,272,USA
JOHNNIE,0.052,77.421,273,USA
SIDNEY,0.052,77.474,274,USA
BYRON,0.052,77.526,275,USA
JULIAN,0.052,77.578,276,USA
ISAAC,0.051,77.629,277,USA
MORRIS,0.051,77.68,278,USA
CLIFTON,0.05,77.73,279,USA
WILLARD,0.05,77.78,280,USA
DARYL,0.05,77.831,281,USA
ROSS,0.05,77.88,282,USA
VIRGIL,0.049,77.929,283,USA
ANDY,0.049,77.979,284,USA
MARSHALL,0.049,78.028,285,USA
SALVADOR,0.049,78.077,286,USA
PERRY,0.049,78.126,287,USA
KIRK,0.049,78.175,288,USA
SERGIO,0.049,78.224,289,USA
MARION,0.048,78.272,290,USA
TRACY,0.048,78.32,291,USA
SETH,0.048,78.368,292,USA
KENT,0.048,78.416,293,USA
TERRANCE,0.048,78.464,294,USA
RENE,0.048,78.512,295,USA
EDUARDO,0.047,78.559,296,USA
TERRENCE,0.047,78.606,297,USA
ENRIQUE,0.046,78.652,298,USA
FREDDIE,0.046,78.698,299,USA
WADE,0.045,78.743,300,USA
AUSTIN,0.044,78.786,301,USA
STUART,0.044,78.83,302,USA
FREDRICK,0.043,78.873,303,USA
ARTURO,0.043,78.917,304,USA
ALEJANDRO,0.043,78.96,305,USA
JACKIE,0.043,79.002,306,USA
JOEY,0.043,79.045,307,USA
NICK,0.043,79.088,308,USA
LUTHER,0.043,79.13,309,USA
WENDELL,0.042,79.172,310,USA
JEREMIAH,0.042,79.215,311,USA
EVAN,0.042,79.257,312,USA
JULIUS,0.042,79.298,313,USA
DANA,0.042,79.34,314,USA
DONNIE,0.041,79.381,315,USA
OTIS,0.041,79.422,316,USA
SHANNON,0.04,79.462,317,USA
TREVOR,0.04,79.503,318,USA
OLIVER,0.04,79.543,319,USA
LUKE,0.04,79.583,320,USA
HOMER,0.04,79.623,321,USA
GERARD,0.04,79.663,322,USA
DOUG,0.04,79.703,323,USA
KENNY,0.039,79.742,324,USA
HUBERT,0.039,79.782,325,USA
ANGELO,0.039,79.821,326,USA
SHAUN,0.039,79.859,327,USA
LYLE,0.038,79.898,328,USA
MATT,0.038,79.936,329,USA
LYNN,0.038,79.974,330,USA
ALFONSO,0.038,80.012,331,USA
ORLANDO,0.037,80.049,332,USA
REX,0.037,80.086,333,USA
CARLTON,0.037,80.123,334,USA
ERNESTO,0.037,80.16,335,USA
CAMERON,0.037,80.197,336,USA
NEAL,0.037,80.233,337,USA
PABLO,0.036,80.27,338,USA
LORENZO,0.036,80.306,339,USA
OMAR,0.036,80.342,340,USA
WILBUR,0.036,80.378,341,USA
BLAKE,0.036,80.414,342,USA
GRANT,0.036,80.45,343,USA
HORACE,0.036,80.486,344,USA
RODERICK,0.036,80.521,345,USA
KERRY,0.036,80.557,346,USA
ABRAHAM,0.035,80.592,347,USA
WILLIS,0.035,80.627,348,USA
RICKEY,0.035,80.662,349,USA
JEAN,0.035,80.696,350,USA
IRA,0.035,80.731,351,USA
ANDRES,0.034,80.766,352,USA
CESAR,0.034,80.8,353,USA
JOHNATHAN,0.034,80.834,354,USA
MALCOLM,0.034,80.868,355,USA
RUDOLPH,0.034,80.902,356,USA
DAMON,0.034,80.936,357,USA
KELVIN,0.034,80.97,358,USA
RUDY,0.034,81.004,359,USA
PRESTON,0.034,81.037,360,USA
ALTON,0.033,81.071,361,USA
ARCHIE,0.033,81.104,362,USA
MARCO,0.033,81.137,363,USA
WM,0.033,81.17,364,USA
PETE,0.032,81.202,365,USA
RANDOLPH,0.032,81.234,366,USA
GARRY,0.032,81.267,367,USA
GEOFFREY,0.032,81.299,368,USA
JONATHON,0.032,81.331,369,USA
FELIPE,0.032,81.363,370,USA
BENNIE,0.032,81.395,371,USA
GERARDO,0.032,81.427,372,USA
ED,0.032,81.458,373,USA
DOMINIC,0.032,81.49,374,USA
ROBIN,0.032,81.522,375,USA
LOREN,0.032,81.553,376,USA
DELBERT,0.031,81.585,377,USA
COLIN,0.031,81.616,378,USA
GUILLERMO,0.031,81.647,379,USA
EARNEST,0.031,81.678,380,USA
LUCAS,0.031,81.709,381,USA
BENNY,0.03,81.739,382,USA
NOEL,0.03,81.769,383,USA
SPENCER,0.03,81.799,384,USA
RODOLFO,0.03,81.828,385,USA
MYRON,0.03,81.858,386,USA
EDMUND,0.03,81.887,387,USA
GARRETT,0.029,81.917,388,USA
SALVATORE,0.029,81.946,389,USA
CEDRIC,0.029,81.975,390,USA
LOWELL,0.029,82.004,391,USA
GREGG,0.029,82.032,392,USA
SHERMAN,0.028,82.061,393,USA
WILSON,0.028,82.089,394,USA
DEVIN,0.028,82.117,395,USA
SYLVESTER,0.028,82.145,396,USA
KIM,0.028,82.173,397,USA
ROOSEVELT,0.028,82.201,398,USA
ISRAEL,0.028,82.229,399,USA
JERMAINE,0.028,82.257,400,USA
FORREST,0.027,82.284,401,USA
WILBERT,0.027,82.31,402,USA
LELAND,0.027,82.337,403,USA
SIMON,0.026,82.363,404,USA
GUADALUPE,0.026,82.39,405,USA
CLARK,0.026,82.416,406,USA
IRVING,0.026,82.442,407,USA
CARROLL,0.026,82.468,408,USA
BRYANT,0.026,82.494,409,USA
OWEN,0.026,82.519,410,USA
RUFUS,0.025,82.545,411,USA
WOODROW,0.025,82.57,412,USA
SAMMY,0.025,82.595,413,USA
KRISTOPHER,0.025,82.62,414,USA
MACK,0.025,82.645,415,USA
LEVI,0.025,82.67,416,USA
MARCOS,0.025,82.695,417,USA
GUSTAVO,0.025,82.72,418,USA
JAKE,0.025,82.744,419,USA
LIONEL,0.024,82.769,420,USA
MARTY,0.024,82.793,421,USA
TAYLOR,0.024,82.817,422,USA
ELLIS,0.024,82.842,423,USA
DALLAS,0.024,82.866,424,USA
GILBERTO,0.024,82.89,425,USA
CLINT,0.024,82.914,426,USA
NICOLAS,0.024,82.938,427,USA
LAURENCE,0.024,82.962,428,USA
ISMAEL,0.024,82.985,429,USA
ORVILLE,0.024,83.009,430,USA
DREW,0.024,83.033,431,USA
JODY,0.024,83.056,432,USA
ERVIN,0.023,83.08,433,USA
DEWEY,0.023,83.103,434,USA
AL,0.023,83.126,435,USA
WILFRED,0.023,83.15,436,USA
JOSH,0.023,83.173,437,USA
HUGO,0.023,83.196,438,USA
IGNACIO,0.023,83.219,439,USA
CALEB,0.023,83.241,440,USA
TOMAS,0.023,83.264,441,USA
SHELDON,0.023,83.287,442,USA
ERICK,0.023,83.31,443,USA
FRANKIE,0.023,83.332,444,USA
STEWART,0.022,83.354,445,USA
DOYLE,0.022,83.377,446,USA
DARREL,0.022,83.399,447,USA
ROGELIO,0.022,83.421,448,USA
TERENCE,0.022,83.443,449,USA
SANTIAGO,0.022,83.465,450,USA
ALONZO,0.022,83.487,451,USA
ELIAS,0.022,83.508,452,USA
BERT,0.022,83.53,453,USA
ELBERT,0.022,83.552,454,USA
RAMIRO,0.022,83.573,455,USA
CONRAD,0.022,83.595,456,USA
PAT,0.022,83.616,457,USA
NOAH,0.022,83.638,458,USA
GRADY,0.021,83.659,459,USA
PHIL,0.021,83.681,460,USA
CORNELIUS,0.021,83.702,461,USA
LAMAR,0.021,83.723,462,USA
ROLANDO,0.021,83.744,463,USA
CLAY,0.021,83.765,464,USA
PERCY,0.021,83.786,465,USA
DEXTER,0.021,83.806,466,USA
BRADFORD,0.021,83.827,467,USA
MERLE,0.021,83.848,468,USA
DARIN,0.02,83.868,469,USA
AMOS,0.02,83.888,470,USA
TERRELL,0.02,83.909,471,USA
MOSES,0.02,83.929,472,USA
IRVIN,0.02,83.949,473,USA
SAUL,0.02,83.968,474,USA
ROMAN,0.02,83.988,475,USA
