Name,Frequency
Stenström,3
Norlin,3
Brolin,3
Östling,3
Landström,3
Zetterberg,3
Söderman,3
Södergren,3
Lundholm,3
Löf,3
Öman,3
Tran,3
Rasmussen,3
Bergstrand,3
Rasmusson,3
Johansen,2
Wallgren,2
Lidström,2
Birgersson,2
Stenlund,2
Engvall,2
Widén,2
Wang,2
Flink,2
Steen,2
Åsberg,2
Emilsson,2
Rosenberg,2
Petersen,2
Olander,2
Ferm,2
Grönlund,2
Khan,2
Ragnarsson,2
Frid,2
Nylén,2
Lundahl,2
Roth,2
Ahmad,2
Rask,2
Carlberg,2
Flodin,2
Christensson,2
Brorsson,2
Ahl,2
Jörgensen,2
Bohman,2
Ögren,2
Rehn,2
Nyqvist,2
Jarl,2
Holmlund,2
Juhlin,2
Gullberg,2
Hjort,2
Vestman,2
Winberg,2
Albertsson,2
Albinsson,2
Brink,2
Nylund,2
Selin,2
Norin,2
Lönn,2
Fagerström,2
Thunberg,2
Ring,2
Dahlén,2
Österlund,2
Molander,2
Hultberg,2
Broström,2
Bergdahl,2
Osman,2
Åkerström,2
Li,2
Klang,2
Åkerman,2
Modig,2
