Name,Frequency
Christ,13
Jean,11
Prince,8
Dieu,5
Emmanuel,4
Junior,4
Guy,3
Amour,3
Franck,3
Exaucè,3
Juste,2
Beni,2
Michel,2
Paul,2
Dieuveil,2
Christian,2
Destin,2
Espoir,2
Divin,2
Alain,2
Brice,2
Ange,2
Bienvenu,2
David,2
Yann,1
Merveil,1
Brel,1
Jules,1
Joseph,1
Daniel,1
Jude,1
Serge,1
Isaac,1
Chris,1
Pierre,1
Yves,1
Aimè,1
Don,1
Ulrich,1
Jordy,1
Chadrack,1
Elie,1
Jospin,1
Fred,1
Josuè,1
Patrick,1
Jacques,1
Saint,1
Brunel,1
Jonathan,1
