Name,Frequency
Emmanuel,9
Samuel,7
Isaac,5
Daniel,5
Michael,5
Joseph,4
Richard,4
Eric,4
Francis,4
John,4
George,3
David,3
Mohammed,3
Stephen,3
Prince,3
Charles,3
Kofi,3
Frank,2
Benjamin,2
Ebenezer,2
Kwame,2
James,2
Ernest,2
Peter,2
Patrick,2
Paul,2
William,2
Edward,2
Felix,2
Ibrahim,2
Seth,2
Anthony,2
Abdul,1
Robert,1
Philip,1
Bernard,1
Yaw,1
Kwabena,1
Albert,1
Alex,1
Kwaku,1
Henry,1
Frederick,1
Solomon,1
Thomas,1
Bright,1
Evans,1
Abdulai,1
Joshua,1
Alfred,1
