Name,Frequency
Korie,1
Vedrana,1
Marija,1
Ana,1
Ivana,1
Mirjana,1
Nada,1
Vesna,1
Dragica,1
Ljubica,1
Katarina,1
Marina,1
Gordana,1
Katica,1
Sanja,1
Marica,1
Snjezana,1
Maja,1
Ivanka,1
Brank,1
Katarina,1
Ljiljana,1
Jelena,1
Anka,1
Mira,1
Kristina,1
Martina,1
Jadranka,1
Nevenka,1
Ankica,1
Marijana,1
Slavica,1
Zeljka,1
Danica,1
Anica,1
