Name,Frequency
Jan,319
Petr,286
Jiří,270
Josef,221
Pavel,211
Martin,199
Jaroslav,180
Miroslav,153
Michal,129
Zdenek,129
František,128
Václav,123
Tomas,116
Milan,112
Jakub,112
Karel,110
David,105
Lukas,85
Ondrej,74
Ladislav,72
Roman,70
Tomáš,66
Marek,65
Stanislav,64
Daniel,63
Radek,61
Filip,50
Adam,47
Antonín,46
Vladimír,46
Vladimir,42
Vojtech,41
Miloslav,34
Aleš,33
Dominik,32
Libor,31
Patrik,30
Jaromír,29
Vlastimil,27
Jindřich,26
Matej,26
Miloš,25
Rudolf,24
Robert,24
Ivan,24
Lubomír,24
Luboš,22
Jiri,22
Oldřich,22
Richard,21
Radim,21
Matyas,20
Lukáš,19
Bohumil,18
Vít,18
Ivo,17
Štěpán,17
Rostislav,17
Simon,16
Luděk,15
Dušan,15
Kamil,14
Michael,13
Vladislav,13
Jiři,13
Zbyněk,13
Bohuslav,12
Viktor,12
Matěj,11
Vojtěch,11
Alois,11
Kryštof,11
Marcel,9
Eduard,9
Jozef,8
