Name,Frequency
John,7
Michael,4
Joe,3
James,3
Robert,3
Joseph,2
David,2
Richard,2
William,2
Peter,2
Paulo,2
Mark,2
Paul,2
Tony,2
Steven,2
Alex,2
Pago,2
Andrew,1
Sam,1
Jack,1
Albert,1
Mike,1
Edward,1
Chris,1
Daniel,1
Jason,1
