Name,Frequency
de Jong,91
Jansen,83
de Vries,78
Bakker,61
Janssen,59
van Dijk,58
Visser,55
Smit,46
de Boer,43
de Groot,41
Mulder,40
Meijer,39
Bos,39
Vos,34
Peters,33
van der Verg,32
Hendriks,31
Dekker,31
van Leeuwen,30
Brouwer,29
van den Berg,27
Dijkstra,26
de Wit,25
Smits,25
Kok,23
Vermeulen,23
de Graaf,22
van der Meer,22
Jacobs,22
de Haan,21
van der Linden,21
Schouten,19
van der Veen,19
de Bruin,18
van Vliet,18
Willems,18
Hoekstra,18
van Bekk,17
Koster,17
Maas,17
van Dam,17
Prins,16
Verhoeven,16
Huisman,16
Blom,16
Peeters,15
Kuipers,15
de Bruijn,15
van der Heijden,15
de Jonhe,15
Post,15
van der Wal,15
van Veen,14
de Boer,14
Groot,14
Scholten,14
Klein,14
van Wijk,14
Martens,13
Veenstra,13
Groen,13
Vink,13
Postma,13
Bosch,13
de Ruiter,13
Koning,13
Smeets,12
de Lange,12
Timmermans,12
Jonker,12
de Vos,12
de Koning,12 
Gerritsen,12
Van Loon,12
van Dongen,11
